Using device: cuda
M=1 detected: Skipping optimization and uniformization.
-------------------- Summary M=1 --------------------
  Condition: Initial: 1.00 | Optimized: 1.00 | Uniform: 1.0000
  Density:   Initial: 0.1410 | Optimized: 0.1410 | Uniform: 0.1410

Starting Optimization M=2 | Initial Cond: 2.81 | Initial Density: 0.1329
Iter: 20 | Dens: 0.1354 | Best Dens: 0.1354 | Status: 0/2000
Iter: 40 | Dens: 0.1388 | Best Dens: 0.1389 | Status: 2/2000
Iter: 60 | Dens: 0.1413 | Best Dens: 0.1415 | Status: 1/2000
Iter: 80 | Dens: 0.1433 | Best Dens: 0.1433 | Status: 0/2000
Iter: 100 | Dens: 0.1452 | Best Dens: 0.1454 | Status: 3/2000
Iter: 120 | Dens: 0.1466 | Best Dens: 0.1466 | Status: 0/2000
Iter: 140 | Dens: 0.1486 | Best Dens: 0.1487 | Status: 2/2000
Iter: 160 | Dens: 0.1496 | Best Dens: 0.1497 | Status: 8/2000
Iter: 180 | Dens: 0.1514 | Best Dens: 0.1514 | Status: 0/2000
Iter: 200 | Dens: 0.1529 | Best Dens: 0.1529 | Status: 1/2000
Iter: 220 | Dens: 0.1549 | Best Dens: 0.1551 | Status: 3/2000
Iter: 240 | Dens: 0.1556 | Best Dens: 0.1559 | Status: 1/2000
Iter: 260 | Dens: 0.1576 | Best Dens: 0.1580 | Status: 1/2000
Iter: 280 | Dens: 0.1597 | Best Dens: 0.1597 | Status: 0/2000
Iter: 300 | Dens: 0.1597 | Best Dens: 0.1603 | Status: 8/2000
Iter: 320 | Dens: 0.1617 | Best Dens: 0.1617 | Status: 0/2000
Iter: 340 | Dens: 0.1620 | Best Dens: 0.1626 | Status: 8/2000
Iter: 360 | Dens: 0.1629 | Best Dens: 0.1632 | Status: 4/2000
Iter: 380 | Dens: 0.1657 | Best Dens: 0.1659 | Status: 2/2000
Iter: 400 | Dens: 0.1670 | Best Dens: 0.1671 | Status: 1/2000
Iter: 420 | Dens: 0.1675 | Best Dens: 0.1679 | Status: 1/2000
Iter: 440 | Dens: 0.1685 | Best Dens: 0.1686 | Status: 1/2000
Iter: 460 | Dens: 0.1693 | Best Dens: 0.1693 | Status: 1/2000
Iter: 480 | Dens: 0.1699 | Best Dens: 0.1701 | Status: 7/2000
Iter: 500 | Dens: 0.1715 | Best Dens: 0.1716 | Status: 4/2000
Iter: 520 | Dens: 0.1734 | Best Dens: 0.1734 | Status: 0/2000
Iter: 540 | Dens: 0.1744 | Best Dens: 0.1746 | Status: 3/2000
Iter: 560 | Dens: 0.1761 | Best Dens: 0.1766 | Status: 1/2000
Iter: 580 | Dens: 0.1771 | Best Dens: 0.1778 | Status: 2/2000
Iter: 600 | Dens: 0.1781 | Best Dens: 0.1783 | Status: 4/2000
Iter: 620 | Dens: 0.1792 | Best Dens: 0.1792 | Status: 0/2000
Iter: 640 | Dens: 0.1797 | Best Dens: 0.1803 | Status: 8/2000
Iter: 660 | Dens: 0.1812 | Best Dens: 0.1813 | Status: 1/2000
Iter: 680 | Dens: 0.1823 | Best Dens: 0.1826 | Status: 10/2000
Iter: 700 | Dens: 0.1829 | Best Dens: 0.1833 | Status: 2/2000
Iter: 720 | Dens: 0.1842 | Best Dens: 0.1842 | Status: 0/2000
Iter: 740 | Dens: 0.1847 | Best Dens: 0.1847 | Status: 0/2000
Iter: 760 | Dens: 0.1850 | Best Dens: 0.1853 | Status: 3/2000
Iter: 780 | Dens: 0.1853 | Best Dens: 0.1854 | Status: 5/2000
Iter: 800 | Dens: 0.1862 | Best Dens: 0.1865 | Status: 1/2000
Iter: 820 | Dens: 0.1873 | Best Dens: 0.1873 | Status: 1/2000
Iter: 840 | Dens: 0.1874 | Best Dens: 0.1879 | Status: 6/2000
Iter: 860 | Dens: 0.1889 | Best Dens: 0.1892 | Status: 2/2000
Iter: 880 | Dens: 0.1897 | Best Dens: 0.1898 | Status: 1/2000
Iter: 900 | Dens: 0.1891 | Best Dens: 0.1899 | Status: 12/2000
Iter: 920 | Dens: 0.1898 | Best Dens: 0.1903 | Status: 1/2000
Iter: 940 | Dens: 0.1905 | Best Dens: 0.1905 | Status: 7/2000
Iter: 960 | Dens: 0.1921 | Best Dens: 0.1933 | Status: 1/2000
Iter: 980 | Dens: 0.1932 | Best Dens: 0.1940 | Status: 4/2000
Iter: 1000 | Dens: 0.1947 | Best Dens: 0.1947 | Status: 1/2000
Iter: 1020 | Dens: 0.1954 | Best Dens: 0.1954 | Status: 3/2000
Iter: 1040 | Dens: 0.1952 | Best Dens: 0.1955 | Status: 11/2000
Iter: 1060 | Dens: 0.1957 | Best Dens: 0.1962 | Status: 1/2000
Iter: 1080 | Dens: 0.1962 | Best Dens: 0.1966 | Status: 1/2000
