Starting Optimization M=11 | Initial Cond: 11551.06 | Initial Density: 0.1689
------------------------------------------------------------
Iter: 20 | Dens: 0.1704 | Best Dens: 0.1704 | Status: 1/200
Iter: 40 | Dens: 0.1731 | Best Dens: 0.1731 | Status: 0/200
Iter: 60 | Dens: 0.1751 | Best Dens: 0.1751 | Status: 1/200
Iter: 80 | Dens: 0.1762 | Best Dens: 0.1762 | Status: 0/200
Iter: 100 | Dens: 0.1777 | Best Dens: 0.1778 | Status: 1/200
Iter: 120 | Dens: 0.1787 | Best Dens: 0.1787 | Status: 4/200
Iter: 140 | Dens: 0.1801 | Best Dens: 0.1801 | Status: 0/200
Iter: 160 | Dens: 0.1819 | Best Dens: 0.1819 | Status: 2/200
Iter: 180 | Dens: 0.1841 | Best Dens: 0.1841 | Status: 0/200
Iter: 200 | Dens: 0.1856 | Best Dens: 0.1856 | Status: 0/200
Iter: 220 | Dens: 0.1870 | Best Dens: 0.1871 | Status: 2/200
Iter: 240 | Dens: 0.1874 | Best Dens: 0.1875 | Status: 5/200
Iter: 260 | Dens: 0.1879 | Best Dens: 0.1881 | Status: 2/200
Iter: 280 | Dens: 0.1889 | Best Dens: 0.1890 | Status: 1/200
Iter: 300 | Dens: 0.1896 | Best Dens: 0.1898 | Status: 2/200
Iter: 320 | Dens: 0.1906 | Best Dens: 0.1907 | Status: 1/200
Iter: 340 | Dens: 0.1922 | Best Dens: 0.1922 | Status: 0/200
Iter: 360 | Dens: 0.1929 | Best Dens: 0.1930 | Status: 5/200
Iter: 380 | Dens: 0.1936 | Best Dens: 0.1936 | Status: 5/200
Iter: 400 | Dens: 0.1942 | Best Dens: 0.1942 | Status: 0/200
Iter: 420 | Dens: 0.1947 | Best Dens: 0.1947 | Status: 0/200
Iter: 440 | Dens: 0.1960 | Best Dens: 0.1960 | Status: 0/200
Iter: 460 | Dens: 0.1968 | Best Dens: 0.1968 | Status: 2/200
Iter: 480 | Dens: 0.1970 | Best Dens: 0.1971 | Status: 6/200
Iter: 500 | Dens: 0.1979 | Best Dens: 0.1979 | Status: 0/200
Iter: 520 | Dens: 0.1980 | Best Dens: 0.1982 | Status: 1/200
Iter: 540 | Dens: 0.1993 | Best Dens: 0.1993 | Status: 1/200
Iter: 560 | Dens: 0.1999 | Best Dens: 0.1999 | Status: 1/200
Iter: 580 | Dens: 0.2003 | Best Dens: 0.2003 | Status: 0/200
Iter: 600 | Dens: 0.2006 | Best Dens: 0.2006 | Status: 0/200
Iter: 620 | Dens: 0.2013 | Best Dens: 0.2015 | Status: 2/200
Iter: 640 | Dens: 0.2027 | Best Dens: 0.2027 | Status: 0/200
Iter: 660 | Dens: 0.2035 | Best Dens: 0.2037 | Status: 1/200
Iter: 680 | Dens: 0.2046 | Best Dens: 0.2047 | Status: 3/200
Iter: 700 | Dens: 0.2047 | Best Dens: 0.2050 | Status: 7/200
Iter: 720 | Dens: 0.2055 | Best Dens: 0.2057 | Status: 3/200
Iter: 740 | Dens: 0.2064 | Best Dens: 0.2064 | Status: 0/200
Iter: 760 | Dens: 0.2075 | Best Dens: 0.2077 | Status: 2/200
Iter: 780 | Dens: 0.2091 | Best Dens: 0.2091 | Status: 2/200
Iter: 800 | Dens: 0.2097 | Best Dens: 0.2097 | Status: 6/200
Iter: 820 | Dens: 0.2103 | Best Dens: 0.2106 | Status: 1/200
Iter: 840 | Dens: 0.2117 | Best Dens: 0.2117 | Status: 2/200
Iter: 860 | Dens: 0.2122 | Best Dens: 0.2124 | Status: 1/200
Iter: 880 | Dens: 0.2131 | Best Dens: 0.2133 | Status: 2/200
